SesionID,Comision,NumeroSesion,Fecha,TotalAsistentes,TotalPresencial,TotalRemotos,TotalAusentes,Nombre,Asistencia,id
218,Ética,Sesión N° 0,2021-07-19T15:00:00,17,14,3,0,"Abarca González, Damaris",ASISTENCIA PRESENCIAL,1
218,Ética,Sesión N° 0,2021-07-19T15:00:00,17,14,3,0,"Andrade León, Cristóbal",ASISTENCIA PRESENCIAL,1
218,Ética,Sesión N° 0,2021-07-19T15:00:00,17,14,3,0,"Galleguillos Aymani, Félix",ASISTENCIA PRESENCIAL,1
218,Ética,Sesión N° 0,2021-07-19T15:00:00,17,14,3,0,"Arauna Urrutia, Francisca",ASISTENCIA PRESENCIAL,1
218,Ética,Sesión N° 0,2021-07-19T15:00:00,17,14,3,0,"Baranda Ferrán, Benito",ASISTENCIA PRESENCIAL,1
218,Ética,Sesión N° 0,2021-07-19T15:00:00,17,14,3,0,"Barraza Gómez, Marcos",ASISTENCIA PRESENCIAL,1
218,Ética,Sesión N° 0,2021-07-19T15:00:00,17,14,3,0,"Castillo Boilet, María Trinidad",ASISTENCIA PRESENCIAL,1
218,Ética,Sesión N° 0,2021-07-19T15:00:00,17,14,3,0,"De la Maza Bañados, Bernardo",ASISTENCIA PRESENCIAL,1
218,Ética,Sesión N° 0,2021-07-19T15:00:00,17,14,3,0,"Gallardo Prado, Bessy",ASISTENCIA PRESENCIAL,1
218,Ética,Sesión N° 0,2021-07-19T15:00:00,17,14,3,0,"González Calderón, Lidia",ASISTENCIA REMOTA,1
218,Ética,Sesión N° 0,2021-07-19T15:00:00,17,14,3,0,"Hurtado Roco, Maximiliano",ASISTENCIA PRESENCIAL,1
218,Ética,Sesión N° 0,2021-07-19T15:00:00,17,14,3,0,"Montealegre Navarro, Katerine",ASISTENCIA REMOTA,1
218,Ética,Sesión N° 0,2021-07-19T15:00:00,17,14,3,0,"Quinteros Cáceres, María Elisa",ASISTENCIA PRESENCIAL,1
218,Ética,Sesión N° 0,2021-07-19T15:00:00,17,14,3,0,"Silva Mora, Luciano",ASISTENCIA REMOTA,1
218,Ética,Sesión N° 0,2021-07-19T15:00:00,17,14,3,0,"Vidal Hernández, Loreto",ASISTENCIA PRESENCIAL,1
218,Ética,Sesión N° 0,2021-07-19T15:00:00,17,14,3,0,"Viera Álvarez, Christian",ASISTENCIA PRESENCIAL,1
218,Ética,Sesión N° 0,2021-07-19T15:00:00,17,14,3,0,"Zúñiga Jory, Luis Arturo",ASISTENCIA PRESENCIAL,1
13,Ética,Sesión N° 1,2021-07-20T15:00:00,17,14,3,0,"Abarca González, Damaris",ASISTENCIA PRESENCIAL,1
13,Ética,Sesión N° 1,2021-07-20T15:00:00,17,14,3,0,"Andrade León, Cristóbal",ASISTENCIA PRESENCIAL,1
13,Ética,Sesión N° 1,2021-07-20T15:00:00,17,14,3,0,"Galleguillos Aymani, Félix",ASISTENCIA PRESENCIAL,1
13,Ética,Sesión N° 1,2021-07-20T15:00:00,17,14,3,0,"Arauna Urrutia, Francisca",ASISTENCIA PRESENCIAL,1
13,Ética,Sesión N° 1,2021-07-20T15:00:00,17,14,3,0,"Baranda Ferrán, Benito",ASISTENCIA PRESENCIAL,1
13,Ética,Sesión N° 1,2021-07-20T15:00:00,17,14,3,0,"Barraza Gómez, Marcos",ASISTENCIA PRESENCIAL,1
13,Ética,Sesión N° 1,2021-07-20T15:00:00,17,14,3,0,"Castillo Boilet, María Trinidad",ASISTENCIA PRESENCIAL,1
13,Ética,Sesión N° 1,2021-07-20T15:00:00,17,14,3,0,"De la Maza Bañados, Bernardo",ASISTENCIA PRESENCIAL,1
13,Ética,Sesión N° 1,2021-07-20T15:00:00,17,14,3,0,"Gallardo Prado, Bessy",ASISTENCIA PRESENCIAL,1
13,Ética,Sesión N° 1,2021-07-20T15:00:00,17,14,3,0,"González Calderón, Lidia",ASISTENCIA REMOTA,1
13,Ética,Sesión N° 1,2021-07-20T15:00:00,17,14,3,0,"Hurtado Roco, Maximiliano",ASISTENCIA PRESENCIAL,1
13,Ética,Sesión N° 1,2021-07-20T15:00:00,17,14,3,0,"Montealegre Navarro, Katerine",ASISTENCIA REMOTA,1
13,Ética,Sesión N° 1,2021-07-20T15:00:00,17,14,3,0,"Quinteros Cáceres, María Elisa",ASISTENCIA PRESENCIAL,1
13,Ética,Sesión N° 1,2021-07-20T15:00:00,17,14,3,0,"Silva Mora, Luciano",ASISTENCIA REMOTA,1
13,Ética,Sesión N° 1,2021-07-20T15:00:00,17,14,3,0,"Vidal Hernández, Loreto",ASISTENCIA PRESENCIAL,1
13,Ética,Sesión N° 1,2021-07-20T15:00:00,17,14,3,0,"Viera Álvarez, Christian",ASISTENCIA PRESENCIAL,1
13,Ética,Sesión N° 1,2021-07-20T15:00:00,17,14,3,0,"Zúñiga Jory, Luis Arturo",ASISTENCIA PRESENCIAL,1
12,Ética,Sesión N° 2,2021-07-22T16:00:00,16,13,3,1,"Abarca González, Damaris",ASISTENCIA PRESENCIAL,1
12,Ética,Sesión N° 2,2021-07-22T16:00:00,16,13,3,1,"Andrade León, Cristóbal",ASISTENCIA PRESENCIAL,1
12,Ética,Sesión N° 2,2021-07-22T16:00:00,16,13,3,1,"Galleguillos Aymani, Félix",ASISTENCIA PRESENCIAL,1
12,Ética,Sesión N° 2,2021-07-22T16:00:00,16,13,3,1,"Arauna Urrutia, Francisca",ASISTENCIA PRESENCIAL,1
12,Ética,Sesión N° 2,2021-07-22T16:00:00,16,13,3,1,"Baranda Ferrán, Benito",ASISTENCIA PRESENCIAL,1
12,Ética,Sesión N° 2,2021-07-22T16:00:00,16,13,3,1,"Barraza Gómez, Marcos",ASISTENCIA PRESENCIAL,1
12,Ética,Sesión N° 2,2021-07-22T16:00:00,16,13,3,1,"Castillo Boilet, María Trinidad",ASISTENCIA PRESENCIAL,1
12,Ética,Sesión N° 2,2021-07-22T16:00:00,16,13,3,1,"De la Maza Bañados, Bernardo",ASISTENCIA REMOTA,1
12,Ética,Sesión N° 2,2021-07-22T16:00:00,16,13,3,1,"Gallardo Prado, Bessy",ASISTENCIA PRESENCIAL,1
12,Ética,Sesión N° 2,2021-07-22T16:00:00,16,13,3,1,"González Calderón, Lidia",NO ASISTE,1
12,Ética,Sesión N° 2,2021-07-22T16:00:00,16,13,3,1,"Hurtado Roco, Maximiliano",ASISTENCIA PRESENCIAL,1
12,Ética,Sesión N° 2,2021-07-22T16:00:00,16,13,3,1,"Montealegre Navarro, Katerine",ASISTENCIA PRESENCIAL,1
12,Ética,Sesión N° 2,2021-07-22T16:00:00,16,13,3,1,"Quinteros Cáceres, María Elisa",ASISTENCIA PRESENCIAL,1
12,Ética,Sesión N° 2,2021-07-22T16:00:00,16,13,3,1,"Silva Mora, Luciano",ASISTENCIA REMOTA,1
12,Ética,Sesión N° 2,2021-07-22T16:00:00,16,13,3,1,"Vidal Hernández, Loreto",ASISTENCIA PRESENCIAL,1
12,Ética,Sesión N° 2,2021-07-22T16:00:00,16,13,3,1,"Viera Álvarez, Christian",ASISTENCIA PRESENCIAL,1
12,Ética,Sesión N° 2,2021-07-22T16:00:00,16,13,3,1,"Zúñiga Jory, Luis Arturo",ASISTENCIA REMOTA,1
17,Ética,Sesión N° 3,2021-07-26T15:00:00,16,14,2,1,"Abarca González, Damaris",ASISTENCIA PRESENCIAL,1
17,Ética,Sesión N° 3,2021-07-26T15:00:00,16,14,2,1,"Andrade León, Cristóbal",ASISTENCIA PRESENCIAL,1
17,Ética,Sesión N° 3,2021-07-26T15:00:00,16,14,2,1,"Galleguillos Aymani, Félix",ASISTENCIA PRESENCIAL,1
17,Ética,Sesión N° 3,2021-07-26T15:00:00,16,14,2,1,"Arauna Urrutia, Francisca",ASISTENCIA PRESENCIAL,1
17,Ética,Sesión N° 3,2021-07-26T15:00:00,16,14,2,1,"Baranda Ferrán, Benito",ASISTENCIA PRESENCIAL,1
17,Ética,Sesión N° 3,2021-07-26T15:00:00,16,14,2,1,"Barraza Gómez, Marcos",ASISTENCIA PRESENCIAL,1
17,Ética,Sesión N° 3,2021-07-26T15:00:00,16,14,2,1,"Castillo Boilet, María Trinidad",ASISTENCIA PRESENCIAL,1
17,Ética,Sesión N° 3,2021-07-26T15:00:00,16,14,2,1,"De la Maza Bañados, Bernardo",ASISTENCIA PRESENCIAL,1
17,Ética,Sesión N° 3,2021-07-26T15:00:00,16,14,2,1,"Gallardo Prado, Bessy",ASISTENCIA REMOTA,1
17,Ética,Sesión N° 3,2021-07-26T15:00:00,16,14,2,1,"González Calderón, Lidia",NO ASISTE,1
17,Ética,Sesión N° 3,2021-07-26T15:00:00,16,14,2,1,"Hurtado Roco, Maximiliano",ASISTENCIA PRESENCIAL,1
17,Ética,Sesión N° 3,2021-07-26T15:00:00,16,14,2,1,"Montealegre Navarro, Katerine",ASISTENCIA PRESENCIAL,1
17,Ética,Sesión N° 3,2021-07-26T15:00:00,16,14,2,1,"Quinteros Cáceres, María Elisa",ASISTENCIA PRESENCIAL,1
17,Ética,Sesión N° 3,2021-07-26T15:00:00,16,14,2,1,"Silva Mora, Luciano",ASISTENCIA REMOTA,1
17,Ética,Sesión N° 3,2021-07-26T15:00:00,16,14,2,1,"Vidal Hernández, Loreto",ASISTENCIA PRESENCIAL,1
17,Ética,Sesión N° 3,2021-07-26T15:00:00,16,14,2,1,"Viera Álvarez, Christian",ASISTENCIA PRESENCIAL,1
17,Ética,Sesión N° 3,2021-07-26T15:00:00,16,14,2,1,"Zúñiga Jory, Luis Arturo",ASISTENCIA PRESENCIAL,1
14,Ética,Sesión N° 4,2021-07-27T15:00:00,14,14,0,3,"Abarca González, Damaris",ASISTENCIA PRESENCIAL,1
14,Ética,Sesión N° 4,2021-07-27T15:00:00,14,14,0,3,"Andrade León, Cristóbal",ASISTENCIA PRESENCIAL,1
14,Ética,Sesión N° 4,2021-07-27T15:00:00,14,14,0,3,"Galleguillos Aymani, Félix",ASISTENCIA PRESENCIAL,1
14,Ética,Sesión N° 4,2021-07-27T15:00:00,14,14,0,3,"Arauna Urrutia, Francisca",ASISTENCIA PRESENCIAL,1
14,Ética,Sesión N° 4,2021-07-27T15:00:00,14,14,0,3,"Baranda Ferrán, Benito",ASISTENCIA PRESENCIAL,1
14,Ética,Sesión N° 4,2021-07-27T15:00:00,14,14,0,3,"Barraza Gómez, Marcos",ASISTENCIA PRESENCIAL,1
14,Ética,Sesión N° 4,2021-07-27T15:00:00,14,14,0,3,"Castillo Boilet, María Trinidad",ASISTENCIA PRESENCIAL,1
14,Ética,Sesión N° 4,2021-07-27T15:00:00,14,14,0,3,"De la Maza Bañados, Bernardo",ASISTENCIA PRESENCIAL,1
14,Ética,Sesión N° 4,2021-07-27T15:00:00,14,14,0,3,"Gallardo Prado, Bessy",NO ASISTE,1
14,Ética,Sesión N° 4,2021-07-27T15:00:00,14,14,0,3,"González Calderón, Lidia",NO ASISTE,1
14,Ética,Sesión N° 4,2021-07-27T15:00:00,14,14,0,3,"Hurtado Roco, Maximiliano",ASISTENCIA PRESENCIAL,1
14,Ética,Sesión N° 4,2021-07-27T15:00:00,14,14,0,3,"Montealegre Navarro, Katerine",ASISTENCIA PRESENCIAL,1
14,Ética,Sesión N° 4,2021-07-27T15:00:00,14,14,0,3,"Quinteros Cáceres, María Elisa",NO ASISTE,1
14,Ética,Sesión N° 4,2021-07-27T15:00:00,14,14,0,3,"Silva Mora, Luciano",ASISTENCIA PRESENCIAL,1
14,Ética,Sesión N° 4,2021-07-27T15:00:00,14,14,0,3,"Vidal Hernández, Loreto",ASISTENCIA PRESENCIAL,1
14,Ética,Sesión N° 4,2021-07-27T15:00:00,14,14,0,3,"Viera Álvarez, Christian",ASISTENCIA PRESENCIAL,1
14,Ética,Sesión N° 4,2021-07-27T15:00:00,14,14,0,3,"Zúñiga Jory, Luis Arturo",ASISTENCIA PRESENCIAL,1
7,Ética,Sesión N° 5,2021-07-28T10:00:00,15,14,1,2,"Abarca González, Damaris",ASISTENCIA PRESENCIAL,1
7,Ética,Sesión N° 5,2021-07-28T10:00:00,15,14,1,2,"Andrade León, Cristóbal",ASISTENCIA PRESENCIAL,1
7,Ética,Sesión N° 5,2021-07-28T10:00:00,15,14,1,2,"Galleguillos Aymani, Félix",ASISTENCIA PRESENCIAL,1
7,Ética,Sesión N° 5,2021-07-28T10:00:00,15,14,1,2,"Arauna Urrutia, Francisca",ASISTENCIA PRESENCIAL,1
7,Ética,Sesión N° 5,2021-07-28T10:00:00,15,14,1,2,"Baranda Ferrán, Benito",ASISTENCIA PRESENCIAL,1
7,Ética,Sesión N° 5,2021-07-28T10:00:00,15,14,1,2,"Barraza Gómez, Marcos",ASISTENCIA PRESENCIAL,1
7,Ética,Sesión N° 5,2021-07-28T10:00:00,15,14,1,2,"Castillo Boilet, María Trinidad",ASISTENCIA PRESENCIAL,1
7,Ética,Sesión N° 5,2021-07-28T10:00:00,15,14,1,2,"De la Maza Bañados, Bernardo",ASISTENCIA PRESENCIAL,1
7,Ética,Sesión N° 5,2021-07-28T10:00:00,15,14,1,2,"Gallardo Prado, Bessy",NO ASISTE,1
7,Ética,Sesión N° 5,2021-07-28T10:00:00,15,14,1,2,"González Calderón, Lidia",NO ASISTE,1
7,Ética,Sesión N° 5,2021-07-28T10:00:00,15,14,1,2,"Hurtado Roco, Maximiliano",ASISTENCIA PRESENCIAL,1
7,Ética,Sesión N° 5,2021-07-28T10:00:00,15,14,1,2,"Montealegre Navarro, Katerine",ASISTENCIA REMOTA,1
