ConvencionalId,Nombres,ApellidoPaterno,ApellidoMaterno,Nombre
1,Damaris,Abarca,González,"Abarca González, Damaris"
2,Jorge,Abarca,Riveros,"Abarca Riveros, Jorge"
3,Ignacio,Achurra,Díaz,"Achurra Díaz, Ignacio"
4,Tiare,Aguilera,Hey,"Aguilera Hey, Tiare"
5,Gloria,Alvarado,Jorquera,"Alvarado Jorquera, Gloria"
6,Julio,Alvarez,Pinto,"Alvarez Pinto, Julio"
7,Rodrigo,Alvarez,Zenteno,"Alvarez Zenteno, Rodrigo"
8,Amaya,Alvez,Marín,"Alvez Marín, Amaya"
9,Adriana,Ampuero,Barrientos,"Ampuero Barrientos, Adriana"
10,Cristóbal,Andrade,León,"Andrade León, Cristóbal"
27,Victorino,Antilef,Ñanco,"Antilef Ñanco, Victorino"
12,Jorge,Arancibia,Reyes,"Arancibia Reyes, Jorge"
13,Francisca,Arauna,Urrutia,"Arauna Urrutia, Francisca"
14,Marco,Arellano,Ortega,"Arellano Ortega, Marco"
15,Martín,Arrau,García-Huidobro,"Arrau García-Huidobro, Martín"
16,Fernando,Atria,Lemaitre,"Atria Lemaitre, Fernando"
17,Wilfredo,Bacian,Delgado,"Bacian Delgado, Wilfredo"
18,Jorge,Baradit,Morales,"Baradit Morales, Jorge"
19,Benito,Baranda,Ferrán,"Baranda Ferrán, Benito"
20,Luis,Barceló,Amado,"Barceló Amado, Luis"
21,Marcos,Barraza,Gómez,"Barraza Gómez, Marcos"
22,Jaime,Bassa,Mercado,"Bassa Mercado, Jaime"
23,Miguel Ángel,Botto,Salinas,"Botto Salinas, Miguel Ángel"
24,Carol,Bown,Sepúlveda,"Bown Sepúlveda, Carol"
25,Daniel,Bravo,Silva,"Bravo Silva, Daniel"
26,Francisco,Caamaño,Rojas,"Caamaño Rojas, Francisco"
71,Alexis,Caiguan,Ancapan,"Caiguan Ancapan, Alexis"
29,Carlos,Calvo,Muñoz,"Calvo Muñoz, Carlos"
30,Adriana,Cancino,Meneses,"Cancino Meneses, Adriana"
31,Rocío,Cantuarias,Rubio,"Cantuarias Rubio, Rocío"
32,Alondra,Carrillo,Vidal,"Carrillo Vidal, Alondra"
33,María Trinidad,Castillo,Boilet,"Castillo Boilet, María Trinidad"
34,Eduardo,Castillo,Vigouroux,"Castillo Vigouroux, Eduardo"
35,Claudia,Castro,Gutiérrez,"Castro Gutiérrez, Claudia"
36,Rosa,Catrileo,Arias,"Catrileo Arias, Rosa"
37,Roberto,Celedón,Fernández,"Celedón Fernández, Roberto"
38,Raúl,Celis,Montt,"Celis Montt, Raúl"
39,Lorena,Céspedes,Fernández,"Céspedes Fernández, Lorena"
40,Fuad,Chahín,Valenzuela,"Chahín Valenzuela, Fuad"
28,Eric,Chinga,Ferreira,"Chinga Ferreira, Eric"
41,Ruggero,Cozzi,Elzo,"Cozzi Elzo, Ruggero"
42,Eduardo,Cretton,Rebolledo,"Cretton Rebolledo, Eduardo"
43,Andrés,Cruz,Carrasco,"Cruz Carrasco, Andrés"
44,Marcela,Cubillos,Sigall,"Cubillos Sigall, Marcela"
45,Mauricio,Daza,Carrasco,"Daza Carrasco, Mauricio"
46,Bernardo,De la Maza,Bañados,"De la Maza Bañados, Bernardo"
47,Aurora,Delgado,Vergara,"Delgado Vergara, Aurora"
48,Gaspar,Domínguez,Donoso,"Domínguez Donoso, Gaspar"
49,Cristina,Dorador,Ortiz,"Dorador Ortiz, Cristina"
50,Patricio,Fernández,Chadwick,"Fernández Chadwick, Patricio"
51,Alejandra,Flores,Carlos,"Flores Carlos, Alejandra"
52,Bernardo,Fontaine,Talavera,"Fontaine Talavera, Bernardo"
53,Javier,Fuchslocher,Baeza,"Fuchslocher Baeza, Javier"
54,Bessy,Gallardo,Prado,"Gallardo Prado, Bessy"
11,Félix,Galleguillos,Aymani,"Galleguillos Aymani, Félix"
55,Renato,Garín,González,"Garín González, Renato"
56,Elisa,Giustinianovich,Campos,"Giustinianovich Campos, Elisa"
57,Isabel,Godoy,Monardez,"Godoy Monardez, Isabel"
58,Claudio,Gómez,Castro,"Gómez Castro, Claudio"
59,Yarela,Gómez,Sánchez,"Gómez Sánchez, Yarela"
60,Dayyana,González,Araya,"González Araya, Dayyana"
61,Lidia,González,Calderón,"González Calderón, Lidia"
62,Giovanna,Grandón,Caro,"Grandón Caro, Giovanna"
63,Paola,Grandón,González,"Grandón González, Paola"
64,Hugo,Gutiérrez,Gálvez,"Gutiérrez Gálvez, Hugo"
