cod_reg,reg,cod_cs,cs,cod_dis,dis,cod_com,com,cod_circ,circ
3015,DE ARICA Y PARINACOTA,5001,CIRCUNSCRIPCIÓN SENATORIAL 1,6001,DISTRITO 1,2822,ARICA,7001,ARICA
3015,DE ARICA Y PARINACOTA,5001,CIRCUNSCRIPCIÓN SENATORIAL 1,6001,DISTRITO 1,2822,ARICA,7660,ARICA NORTE
3015,DE ARICA Y PARINACOTA,5001,CIRCUNSCRIPCIÓN SENATORIAL 1,6001,DISTRITO 1,2822,ARICA,7599,SAN MIGUEL DE AZAPA
3015,DE ARICA Y PARINACOTA,5001,CIRCUNSCRIPCIÓN SENATORIAL 1,6001,DISTRITO 1,2822,ARICA,7694,SECTOR EX BARRIO INDUSTRIAL DE ARICA
3015,DE ARICA Y PARINACOTA,5001,CIRCUNSCRIPCIÓN SENATORIAL 1,6001,DISTRITO 1,2823,CAMARONES,7003,CAMARONES
3015,DE ARICA Y PARINACOTA,5001,CIRCUNSCRIPCIÓN SENATORIAL 1,6001,DISTRITO 1,2823,CAMARONES,7525,CODPA
3015,DE ARICA Y PARINACOTA,5001,CIRCUNSCRIPCIÓN SENATORIAL 1,6001,DISTRITO 1,2825,GENERAL LAGOS,7006,GENERAL LAGOS
3015,DE ARICA Y PARINACOTA,5001,CIRCUNSCRIPCIÓN SENATORIAL 1,6001,DISTRITO 1,2824,PUTRE,7005,BELEN
3015,DE ARICA Y PARINACOTA,5001,CIRCUNSCRIPCIÓN SENATORIAL 1,6001,DISTRITO 1,2824,PUTRE,7004,PUTRE
3001,DE TARAPACA,5002,CIRCUNSCRIPCIÓN SENATORIAL 2,6002,DISTRITO 2,2502,ALTO HOSPICIO,7589,ALTO HOSPICIO
3001,DE TARAPACA,5002,CIRCUNSCRIPCIÓN SENATORIAL 2,6002,DISTRITO 2,2504,CAMIÑA,7011,CAMIÑA
3001,DE TARAPACA,5002,CIRCUNSCRIPCIÓN SENATORIAL 2,6002,DISTRITO 2,2505,COLCHANE,7012,COLCHANE
3001,DE TARAPACA,5002,CIRCUNSCRIPCIÓN SENATORIAL 2,6002,DISTRITO 2,2506,HUARA,7010,CHIAPA
3001,DE TARAPACA,5002,CIRCUNSCRIPCIÓN SENATORIAL 2,6002,DISTRITO 2,2506,HUARA,7009,HUARA
